num_nodes;media;mediana;desvio_padrao;minimo;maximo;amostras;coeficiente_variacao
1000;120.20;120.00;4.30;112;129;30;0.04
10000;1364.80;1347.50;56.08;1319;1578;30;0.04
100000;14886.33;14894.00;204.14;14497;15155;30;0.01
1000000;196297.47;196462.50;2780.96;191763;205228;30;0.01
