num_nodes;media;mediana;desvio_padrao;minimo;maximo;amostras;coeficiente_variacao
1000;106.87;105.50;8.40;96;128;30;0.08
10000;1217.00;1202.50;66.36;1154;1460;30;0.05
100000;15104.17;15163.50;408.69;14343;15973;30;0.03
1000000;191694.93;191616.00;3346.29;187114;198461;30;0.02
