num_nodes;media;mediana;desvio_padrao;minimo;maximo;amostras;coeficiente_variacao
1000;60.27;60.00;1.41;58;64;30;0.02
10000;801.90;713.00;169.59;677;1202;30;0.21
100000;7772.53;7743.50;205.01;7316;8417;30;0.03
1000000;106015.67;105349.00;3407.36;101009;115021;30;0.03
