impl,workload_label,num_nodes,num_ops,time_us
UF-Rand,union_heavy,100000,1000000,14474
UF-Rand,find_heavy,100000,1000000,14697
UF-Rand,union_heavy,100000,1000000,15267
UF-Rand,find_heavy,100000,1000000,15101
UF-Rand,union_heavy,100000,1000000,15060
UF-Rand,find_heavy,100000,1000000,15002
UF-Rand,union_heavy,100000,1000000,14832
UF-Rand,find_heavy,100000,1000000,14712
UF-Rand,union_heavy,100000,1000000,15407
UF-Rand,find_heavy,100000,1000000,14703
UF-Rand,union_heavy,100000,1000000,14370
UF-Rand,find_heavy,100000,1000000,14565
UF-Rand,union_heavy,100000,1000000,15490
UF-Rand,find_heavy,100000,1000000,14697
UF-Rand,union_heavy,100000,1000000,15042
UF-Rand,find_heavy,100000,1000000,15126
UF-Rand,union_heavy,100000,1000000,14592
UF-Rand,find_heavy,100000,1000000,14715
UF-Rand,union_heavy,100000,1000000,15150
UF-Rand,find_heavy,100000,1000000,15101
UF-Rand,union_heavy,100000,1000000,14785
UF-Rand,find_heavy,100000,1000000,14879
UF-Rand,union_heavy,100000,1000000,14343
UF-Rand,find_heavy,100000,1000000,14665
UF-Rand,union_heavy,100000,1000000,15823
UF-Rand,find_heavy,100000,1000000,15139
UF-Rand,union_heavy,100000,1000000,14959
UF-Rand,find_heavy,100000,1000000,14685
UF-Rand,union_heavy,100000,1000000,15230
UF-Rand,find_heavy,100000,1000000,15101
UF-Rand,union_heavy,100000,1000000,15177
UF-Rand,find_heavy,100000,1000000,14497
UF-Rand,union_heavy,100000,1000000,15326
UF-Rand,find_heavy,100000,1000000,15103
UF-Rand,union_heavy,100000,1000000,15973
UF-Rand,find_heavy,100000,1000000,15128
UF-Rand,union_heavy,100000,1000000,14584
UF-Rand,find_heavy,100000,1000000,14906
UF-Rand,union_heavy,100000,1000000,14943
UF-Rand,find_heavy,100000,1000000,14811
UF-Rand,union_heavy,100000,1000000,15125
UF-Rand,find_heavy,100000,1000000,14759
UF-Rand,union_heavy,100000,1000000,15650
UF-Rand,find_heavy,100000,1000000,15075
UF-Rand,union_heavy,100000,1000000,15225
UF-Rand,find_heavy,100000,1000000,15130
UF-Rand,union_heavy,100000,1000000,14607
UF-Rand,find_heavy,100000,1000000,14904
UF-Rand,union_heavy,100000,1000000,15359
UF-Rand,find_heavy,100000,1000000,14638
UF-Rand,union_heavy,100000,1000000,15252
UF-Rand,find_heavy,100000,1000000,14884
UF-Rand,union_heavy,100000,1000000,15339
UF-Rand,find_heavy,100000,1000000,15025
UF-Rand,union_heavy,100000,1000000,15217
UF-Rand,find_heavy,100000,1000000,15155
UF-Rand,union_heavy,100000,1000000,15571
UF-Rand,find_heavy,100000,1000000,14996
UF-Rand,union_heavy,100000,1000000,14953
UF-Rand,find_heavy,100000,1000000,14691
