impl,workload_label,num_nodes,num_ops,time_us
UF-Rand,union_heavy,1000,10000,111
UF-Rand,find_heavy,1000,10000,116
UF-Rand,union_heavy,1000,10000,111
UF-Rand,find_heavy,1000,10000,112
UF-Rand,union_heavy,1000,10000,101
UF-Rand,find_heavy,1000,10000,115
UF-Rand,union_heavy,1000,10000,118
UF-Rand,find_heavy,1000,10000,115
UF-Rand,union_heavy,1000,10000,119
UF-Rand,find_heavy,1000,10000,116
UF-Rand,union_heavy,1000,10000,102
UF-Rand,find_heavy,1000,10000,122
UF-Rand,union_heavy,1000,10000,99
UF-Rand,find_heavy,1000,10000,116
UF-Rand,union_heavy,1000,10000,128
UF-Rand,find_heavy,1000,10000,123
UF-Rand,union_heavy,1000,10000,106
UF-Rand,find_heavy,1000,10000,126
UF-Rand,union_heavy,1000,10000,100
UF-Rand,find_heavy,1000,10000,117
UF-Rand,union_heavy,1000,10000,103
UF-Rand,find_heavy,1000,10000,122
UF-Rand,union_heavy,1000,10000,107
UF-Rand,find_heavy,1000,10000,122
UF-Rand,union_heavy,1000,10000,110
UF-Rand,find_heavy,1000,10000,118
UF-Rand,union_heavy,1000,10000,119
UF-Rand,find_heavy,1000,10000,121
UF-Rand,union_heavy,1000,10000,100
UF-Rand,find_heavy,1000,10000,122
UF-Rand,union_heavy,1000,10000,105
UF-Rand,find_heavy,1000,10000,123
UF-Rand,union_heavy,1000,10000,121
UF-Rand,find_heavy,1000,10000,119
UF-Rand,union_heavy,1000,10000,114
UF-Rand,find_heavy,1000,10000,129
UF-Rand,union_heavy,1000,10000,106
UF-Rand,find_heavy,1000,10000,118
UF-Rand,union_heavy,1000,10000,108
UF-Rand,find_heavy,1000,10000,115
UF-Rand,union_heavy,1000,10000,96
UF-Rand,find_heavy,1000,10000,118
UF-Rand,union_heavy,1000,10000,115
UF-Rand,find_heavy,1000,10000,123
UF-Rand,union_heavy,1000,10000,99
UF-Rand,find_heavy,1000,10000,118
UF-Rand,union_heavy,1000,10000,99
UF-Rand,find_heavy,1000,10000,125
UF-Rand,union_heavy,1000,10000,97
UF-Rand,find_heavy,1000,10000,127
UF-Rand,union_heavy,1000,10000,100
UF-Rand,find_heavy,1000,10000,128
UF-Rand,union_heavy,1000,10000,101
UF-Rand,find_heavy,1000,10000,123
UF-Rand,union_heavy,1000,10000,98
UF-Rand,find_heavy,1000,10000,117
UF-Rand,union_heavy,1000,10000,100
UF-Rand,find_heavy,1000,10000,118
UF-Rand,union_heavy,1000,10000,113
UF-Rand,find_heavy,1000,10000,122
