impl,workload_label,num_nodes,num_ops,time_us
UF-Rank,union_heavy,10000,100000,678
UF-Rank,find_heavy,10000,100000,815
UF-Rank,union_heavy,10000,100000,697
UF-Rank,find_heavy,10000,100000,789
UF-Rank,union_heavy,10000,100000,1152
UF-Rank,find_heavy,10000,100000,766
UF-Rank,union_heavy,10000,100000,715
UF-Rank,find_heavy,10000,100000,790
UF-Rank,union_heavy,10000,100000,723
UF-Rank,find_heavy,10000,100000,748
UF-Rank,union_heavy,10000,100000,688
UF-Rank,find_heavy,10000,100000,772
UF-Rank,union_heavy,10000,100000,718
UF-Rank,find_heavy,10000,100000,812
UF-Rank,union_heavy,10000,100000,1076
UF-Rank,find_heavy,10000,100000,833
UF-Rank,union_heavy,10000,100000,855
UF-Rank,find_heavy,10000,100000,864
UF-Rank,union_heavy,10000,100000,696
UF-Rank,find_heavy,10000,100000,749
UF-Rank,union_heavy,10000,100000,717
UF-Rank,find_heavy,10000,100000,799
UF-Rank,union_heavy,10000,100000,711
UF-Rank,find_heavy,10000,100000,795
UF-Rank,union_heavy,10000,100000,682
UF-Rank,find_heavy,10000,100000,890
UF-Rank,union_heavy,10000,100000,705
UF-Rank,find_heavy,10000,100000,998
UF-Rank,union_heavy,10000,100000,715
UF-Rank,find_heavy,10000,100000,821
UF-Rank,union_heavy,10000,100000,1046
UF-Rank,find_heavy,10000,100000,770
UF-Rank,union_heavy,10000,100000,1046
UF-Rank,find_heavy,10000,100000,802
UF-Rank,union_heavy,10000,100000,1011
UF-Rank,find_heavy,10000,100000,832
UF-Rank,union_heavy,10000,100000,1202
UF-Rank,find_heavy,10000,100000,1094
UF-Rank,union_heavy,10000,100000,692
UF-Rank,find_heavy,10000,100000,763
UF-Rank,union_heavy,10000,100000,690
UF-Rank,find_heavy,10000,100000,801
UF-Rank,union_heavy,10000,100000,690
UF-Rank,find_heavy,10000,100000,796
UF-Rank,union_heavy,10000,100000,703
UF-Rank,find_heavy,10000,100000,784
UF-Rank,union_heavy,10000,100000,677
UF-Rank,find_heavy,10000,100000,813
UF-Rank,union_heavy,10000,100000,703
UF-Rank,find_heavy,10000,100000,1208
UF-Rank,union_heavy,10000,100000,735
UF-Rank,find_heavy,10000,100000,824
UF-Rank,union_heavy,10000,100000,705
UF-Rank,find_heavy,10000,100000,799
UF-Rank,union_heavy,10000,100000,695
UF-Rank,find_heavy,10000,100000,784
UF-Rank,union_heavy,10000,100000,825
UF-Rank,find_heavy,10000,100000,797
UF-Rank,union_heavy,10000,100000,1109
UF-Rank,find_heavy,10000,100000,1265
