impl,workload_label,num_nodes,num_ops,time_us
UF-Rank,union_heavy,100000,1000000,7316
UF-Rank,find_heavy,100000,1000000,8260
UF-Rank,union_heavy,100000,1000000,8040
UF-Rank,find_heavy,100000,1000000,8323
UF-Rank,union_heavy,100000,1000000,7822
UF-Rank,find_heavy,100000,1000000,8591
UF-Rank,union_heavy,100000,1000000,7731
UF-Rank,find_heavy,100000,1000000,8213
UF-Rank,union_heavy,100000,1000000,7704
UF-Rank,find_heavy,100000,1000000,8670
UF-Rank,union_heavy,100000,1000000,7325
UF-Rank,find_heavy,100000,1000000,8259
UF-Rank,union_heavy,100000,1000000,7702
UF-Rank,find_heavy,100000,1000000,8635
UF-Rank,union_heavy,100000,1000000,7738
UF-Rank,find_heavy,100000,1000000,8510
UF-Rank,union_heavy,100000,1000000,7765
UF-Rank,find_heavy,100000,1000000,8648
UF-Rank,union_heavy,100000,1000000,7689
UF-Rank,find_heavy,100000,1000000,8387
UF-Rank,union_heavy,100000,1000000,7726
UF-Rank,find_heavy,100000,1000000,8049
UF-Rank,union_heavy,100000,1000000,8097
UF-Rank,find_heavy,100000,1000000,8068
UF-Rank,union_heavy,100000,1000000,7952
UF-Rank,find_heavy,100000,1000000,8740
UF-Rank,union_heavy,100000,1000000,7748
UF-Rank,find_heavy,100000,1000000,8465
UF-Rank,union_heavy,100000,1000000,7664
UF-Rank,find_heavy,100000,1000000,8757
UF-Rank,union_heavy,100000,1000000,7817
UF-Rank,find_heavy,100000,1000000,8421
UF-Rank,union_heavy,100000,1000000,8417
UF-Rank,find_heavy,100000,1000000,8267
UF-Rank,union_heavy,100000,1000000,7878
UF-Rank,find_heavy,100000,1000000,8612
UF-Rank,union_heavy,100000,1000000,7751
UF-Rank,find_heavy,100000,1000000,8435
UF-Rank,union_heavy,100000,1000000,7720
UF-Rank,find_heavy,100000,1000000,8794
UF-Rank,union_heavy,100000,1000000,7735
UF-Rank,find_heavy,100000,1000000,8361
UF-Rank,union_heavy,100000,1000000,7916
UF-Rank,find_heavy,100000,1000000,8518
UF-Rank,union_heavy,100000,1000000,7831
UF-Rank,find_heavy,100000,1000000,8410
UF-Rank,union_heavy,100000,1000000,7627
UF-Rank,find_heavy,100000,1000000,8251
UF-Rank,union_heavy,100000,1000000,7936
UF-Rank,find_heavy,100000,1000000,8482
UF-Rank,union_heavy,100000,1000000,7540
UF-Rank,find_heavy,100000,1000000,8442
UF-Rank,union_heavy,100000,1000000,7739
UF-Rank,find_heavy,100000,1000000,8619
UF-Rank,union_heavy,100000,1000000,7714
UF-Rank,find_heavy,100000,1000000,8936
UF-Rank,union_heavy,100000,1000000,7788
UF-Rank,find_heavy,100000,1000000,8525
UF-Rank,union_heavy,100000,1000000,7748
UF-Rank,find_heavy,100000,1000000,8190
