impl,workload_label,num_nodes,num_ops,time_us
UF-Rank,union_heavy,1000,10000,60
UF-Rank,find_heavy,1000,10000,75
UF-Rank,union_heavy,1000,10000,60
UF-Rank,find_heavy,1000,10000,65
UF-Rank,union_heavy,1000,10000,59
UF-Rank,find_heavy,1000,10000,66
UF-Rank,union_heavy,1000,10000,61
UF-Rank,find_heavy,1000,10000,65
UF-Rank,union_heavy,1000,10000,59
UF-Rank,find_heavy,1000,10000,66
UF-Rank,union_heavy,1000,10000,63
UF-Rank,find_heavy,1000,10000,72
UF-Rank,union_heavy,1000,10000,59
UF-Rank,find_heavy,1000,10000,75
UF-Rank,union_heavy,1000,10000,60
UF-Rank,find_heavy,1000,10000,66
UF-Rank,union_heavy,1000,10000,59
UF-Rank,find_heavy,1000,10000,65
UF-Rank,union_heavy,1000,10000,59
UF-Rank,find_heavy,1000,10000,66
UF-Rank,union_heavy,1000,10000,60
UF-Rank,find_heavy,1000,10000,68
UF-Rank,union_heavy,1000,10000,59
UF-Rank,find_heavy,1000,10000,80
UF-Rank,union_heavy,1000,10000,60
UF-Rank,find_heavy,1000,10000,66
UF-Rank,union_heavy,1000,10000,60
UF-Rank,find_heavy,1000,10000,64
UF-Rank,union_heavy,1000,10000,61
UF-Rank,find_heavy,1000,10000,70
UF-Rank,union_heavy,1000,10000,60
UF-Rank,find_heavy,1000,10000,68
UF-Rank,union_heavy,1000,10000,60
UF-Rank,find_heavy,1000,10000,71
UF-Rank,union_heavy,1000,10000,64
UF-Rank,find_heavy,1000,10000,70
UF-Rank,union_heavy,1000,10000,60
UF-Rank,find_heavy,1000,10000,65
UF-Rank,union_heavy,1000,10000,64
UF-Rank,find_heavy,1000,10000,66
UF-Rank,union_heavy,1000,10000,60
UF-Rank,find_heavy,1000,10000,67
UF-Rank,union_heavy,1000,10000,61
UF-Rank,find_heavy,1000,10000,69
UF-Rank,union_heavy,1000,10000,58
UF-Rank,find_heavy,1000,10000,67
UF-Rank,union_heavy,1000,10000,60
UF-Rank,find_heavy,1000,10000,66
UF-Rank,union_heavy,1000,10000,62
UF-Rank,find_heavy,1000,10000,68
UF-Rank,union_heavy,1000,10000,60
UF-Rank,find_heavy,1000,10000,74
UF-Rank,union_heavy,1000,10000,60
UF-Rank,find_heavy,1000,10000,68
UF-Rank,union_heavy,1000,10000,61
UF-Rank,find_heavy,1000,10000,67
UF-Rank,union_heavy,1000,10000,59
UF-Rank,find_heavy,1000,10000,70
UF-Rank,union_heavy,1000,10000,60
UF-Rank,find_heavy,1000,10000,68
